,
ESS BMS and Battery Module Profile Data
,
Data retrieved: 05/10/2017 @ 13:43:34
,
BMS Software AS version:,0x0206BA42
BMS Software AS checksum:,0x03EC9675
BMS Software OS version:,0x0206BB42
BMS Software OS checksum:,0xDF1C5EF9
,
,
Mfg Data:,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,
,
Mfg Data (ASCII): ................................
,
,
<Battery Current (A)>
,
,< -350.0,-350.0,-340.0,-330.0,-320.0,-310.0,-300.0,-290.0,-280.0,-270.0,-260.0,-250.0,-240.0,-230.0,-220.0,-210.0,-200.0,-190.0,-180.0,-170.0,-160.0,-150.0,-140.0,-130.0,-120.0,-110.0,-100.0,-90.0,-80.0,-70.0,-60.0,-50.0,-40.0,-30.0,-20.0,-10.0,0.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,130.0,140.0,150.0,160.0,170.0,180.0,190.0,200.0,210.0,220.0,230.0,240.0,250.0,260.0,270.0,280.0,290.0,300.0,310.0,320.0,330.0,340.0,>= 350.0,,TOTAL
 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,8,7,16,24,75,2284,105,59,28,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2622
<Battery Voltage (V)>
,
,< 450.0,450.0,460.0,470.0,480.0,490.0,500.0,510.0,520.0,530.0,540.0,550.0,560.0,570.0,580.0,590.0,600.0,610.0,620.0,630.0,640.0,650.0,660.0,670.0,680.0,690.0,700.0,710.0,720.0,730.0,740.0,>= 750.0,,TOTAL
 ,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,179,2272,147,9,0,0,0,0,0,0,0,0,0,0,,2622
<Power (kW)>
,
,< -200.0,-200.0,-190.0,-180.0,-170.0,-160.0,-150.0,-140.0,-130.0,-120.0,-110.0,-100.0,-90.0,-80.0,-70.0,-60.0,-50.0,-40.0,-30.0,-20.0,-10.0,0.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,130.0,140.0,150.0,160.0,170.0,180.0,190.0,>= 200.0,,TOTAL
 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,14,19,92,2357,106,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2622
<A2D Error profile data>
,
,CURRENT,VOLTAGE,POWER,,TOTAL
,0,0,0,,0
,
,
MODULE 1
,
**** MODULE NOT CONFIGURED IN IDS ****
,
,
,
MODULE 2
,
**** MODULE NOT CONFIGURED IN IDS ****
,
,
,
MODULE 3
,
**** MODULE NOT CONFIGURED IN IDS ****
,
,
,
MODULE 4
,
**** MODULE NOT CONFIGURED IN IDS ****
,
,
,
MODULE 5
,
**** MODULE NOT CONFIGURED IN IDS ****
,
,
,
MODULE 6
,
**** MODULE NOT CONFIGURED IN IDS ****
,
,
,
MODULE 7
,
**** MODULE NOT CONFIGURED IN IDS ****
,
,
,
MODULE 8
,
**** MODULE NOT CONFIGURED IN IDS ****
,
,
,
MODULE 9
,
**** MODULE NOT CONFIGURED IN IDS ****
,
,
,
MODULE 10
,
**** MODULE NOT CONFIGURED IN IDS ****
,
,
,
MODULE 11
,
**** MODULE NOT CONFIGURED IN IDS ****
,
,
,
MODULE 12
,
**** MODULE NOT CONFIGURED IN IDS ****
,
,
,
MODULE 13
,
**** MODULE NOT CONFIGURED IN IDS ****
,
,
,
MODULE 14
,
**** MODULE NOT CONFIGURED IN IDS ****
,
,
,
MODULE 15
,
**** MODULE NOT CONFIGURED IN IDS ****
,
,
,
MODULE 16
,
**** MODULE NOT CONFIGURED IN IDS ****
,
