,
ESS BMS and Battery Module Profile Data
,
Data retrieved: 03/01/2017 @ 08:54:24
,
BMS Software AS version:,0x00000000
BMS Software AS checksum:,0x00000000
BMS Software OS version:,0x00000000
BMS Software OS checksum:,0x00000000
,
,
Mfg Data:,,
,
,,#### ERROR READING BMS DATA - SCRIPT TERMINATED ####
,
,
MODULE 1
,
**** MODULE NOT RESPONDING ****
,
,
,
MODULE 2
,
**** MODULE NOT RESPONDING ****
,
,
,
MODULE 3
,
**** MODULE NOT RESPONDING ****
,
,
,
MODULE 4
,
**** MODULE NOT RESPONDING ****
,
,
,
MODULE 5
,
